Designation,Company,experience,average salary,minimum salary,maximum salary,ratings,reviews
System Engineer ,Wipro,0-10yrs  ,"5,67,707",1.0,11.3,4.1,4k
IT Analyst ,Wipro,3-11yrs  ,"10,20,830",3.3,30.0,4.1,4k
AST Consultant ,Wipro,6-15yrs  ,"11,92,447",49.0,26.0,4.1,4k
Assistant System Engineer ,Wipro,0-4yrs  ,"3,22,013",90.0,8.6,4.1,4k
Associate Consultant ,Wipro,4-21yrs  ,"17,70,317",4.4,33.0,4.1,4k
Senior Process Associate ,Wipro,0-11yrs  ,"6,62,207",1.7,23.0,4.1,4k
Software Engineer ,Wipro,0-8yrs  ,"11,51,452",1.8,33.4,4.1,4k
Process Associate ,Wipro,0-9yrs  ,"10,83,927",2.3,24.6,4.1,4k
Software Developer ,Wipro,0-9yrs  ,"9,48,793",2.0,24.8,4.1,4k
System Engineer Hardware ,Wipro,0-6yrs  ,"7,29,412",1.8,23.2,4.1,4k
System Engineer ,ICICI-Bank,0-10yrs  ,"5,68,297",2.2,10.2,3.9,3.6k
IT Analyst ,ICICI-Bank,3-11yrs  ,"6,98,709",47.9,36.0,3.9,3.6k
AST Consultant ,ICICI-Bank,6-15yrs  ,"2,91,841",1.3,6.0,3.9,3.6k
Assistant System Engineer ,ICICI-Bank,0-4yrs  ,"6,52,385",1.5,14.0,3.9,3.6k
Associate Consultant ,ICICI-Bank,4-21yrs  ,"10,83,915",3.2,26.0,3.9,3.6k
Senior Process Associate ,ICICI-Bank,0-11yrs  ,"2,55,504",15.0,6.5,3.9,3.6k
Software Engineer ,ICICI-Bank,0-8yrs  ,"8,76,623",15.0,16.4,3.9,3.6k
Process Associate ,ICICI-Bank,0-9yrs  ,"2,95,272",90.0,7.0,3.9,3.6k
Software Developer ,ICICI-Bank,0-9yrs  ,"2,95,581",1.2,5.0,3.9,3.6k
System Engineer Hardware ,ICICI-Bank,0-6yrs  ,"2,43,448",18.0,15.0,3.9,3.6k
System Engineer ,HDFC-Bank,0-10yrs  ,"5,46,714",2.0,10.0,4.2,3.1k
IT Analyst ,HDFC-Bank,3-11yrs  ,"2,50,857",40.0,12.0,4.2,3.1k
AST Consultant ,HDFC-Bank,6-15yrs  ,"6,61,811",1.4,18.9,4.2,3.1k
Assistant System Engineer ,HDFC-Bank,0-4yrs  ,"2,39,960",20.0,15.2,4.2,3.1k
Associate Consultant ,HDFC-Bank,4-21yrs  ,"6,87,078",1.0,13.0,4.2,3.1k
Senior Process Associate ,HDFC-Bank,0-11yrs  ,"4,78,094",20.0,8.2,4.2,3.1k
Software Engineer ,HDFC-Bank,0-8yrs  ,"13,31,116",3.5,33.0,4.2,3.1k
Process Associate ,HDFC-Bank,0-9yrs  ,"7,69,287",1.0,20.0,4.2,3.1k
Software Developer ,HDFC-Bank,0-9yrs  ,"2,52,629",15.0,4.5,4.2,3.1k
System Engineer Hardware ,HDFC-Bank,0-6yrs  ,"5,12,455",2.5,7.5,4.2,3.1k
System Engineer ,Infosys,0-10yrs  ,"7,08,817",3.2,16.0,4.1,2.8k
IT Analyst ,Infosys,3-11yrs  ,"4,82,658",2.5,8.1,4.1,2.8k
AST Consultant ,Infosys,6-15yrs  ,"3,92,443",2.4,5.6,4.1,2.8k
Assistant System Engineer ,Infosys,0-4yrs  ,"12,09,965",5.6,25.0,4.1,2.8k
Associate Consultant ,Infosys,4-21yrs  ,"10,55,970",4.0,18.5,4.1,2.8k
Senior Process Associate ,Infosys,0-11yrs  ,"7,18,535",1.8,15.0,4.1,2.8k
Software Engineer ,Infosys,0-8yrs  ,"9,16,702",3.0,15.0,4.1,2.8k
Process Associate ,Infosys,0-9yrs  ,"4,56,033",2.4,7.7,4.1,2.8k
Software Developer ,Infosys,0-9yrs  ,"17,47,317",7.0,29.1,4.1,2.8k
System Engineer Hardware ,Infosys,0-6yrs  ,"3,91,668",2.8,5.7,4.1,2.8k
System Engineer ,Capgemini,0-10yrs  ,"6,37,619",2.5,11.9,4.3,2.6k
IT Analyst ,Capgemini,3-11yrs  ,"14,56,736",2.4,27.5,4.3,2.6k
AST Consultant ,Capgemini,6-15yrs  ,"9,20,029",1.8,16.0,4.3,2.6k
Assistant System Engineer ,Capgemini,0-4yrs  ,"4,88,532",1.0,8.6,4.3,2.6k
Associate Consultant ,Capgemini,4-21yrs  ,"5,59,760",1.7,10.6,4.3,2.6k
Senior Process Associate ,Capgemini,0-11yrs  ,"3,26,521",1.3,6.5,4.3,2.6k
Software Engineer ,Capgemini,0-8yrs  ,"4,36,176",1.3,9.5,4.3,2.6k
Process Associate ,Capgemini,0-9yrs  ,"6,32,038",2.0,12.0,4.3,2.6k
Software Developer ,Capgemini,0-9yrs  ,"4,02,950",15.0,40.0,4.3,2.6k
System Engineer Hardware ,Capgemini,0-6yrs  ,"7,42,595",2.0,18.5,4.3,2.6k
System Engineer ,Tech-Mahindra,0-10yrs  ,"6,54,510",1.7,15.5,3.6,2.4k
IT Analyst ,Tech-Mahindra,3-11yrs  ,"11,64,536",50.0,26.0,3.6,2.4k
AST Consultant ,Tech-Mahindra,6-15yrs  ,"17,97,590",4.4,34.0,3.6,2.4k
Assistant System Engineer ,Tech-Mahindra,0-4yrs  ,"7,28,773",2.0,20.0,3.6,2.4k
Associate Consultant ,Tech-Mahindra,4-21yrs  ,"4,49,751",1.7,9.6,3.6,2.4k
Senior Process Associate ,Tech-Mahindra,0-11yrs  ,"5,53,291",1.8,12.0,3.6,2.4k
Software Engineer ,Tech-Mahindra,0-8yrs  ,"9,83,362",15.0,41.5,3.6,2.4k
Process Associate ,Tech-Mahindra,0-9yrs  ,"2,58,081",10.0,7.5,3.6,2.4k
Software Developer ,Tech-Mahindra,0-9yrs  ,"2,48,876",10.0,12.0,3.6,2.4k
System Engineer Hardware ,Tech-Mahindra,0-6yrs  ,"7,14,189",1.2,17.0,3.6,2.4k
System Engineer ,Genpact,0-10yrs  ,"4,05,410",90.0,6.6,4.1,2.2k
IT Analyst ,Genpact,3-11yrs  ,"3,14,026",80.0,6.5,4.1,2.2k
AST Consultant ,Genpact,6-15yrs  ,"5,75,407",1.7,9.1,4.1,2.2k
Assistant System Engineer ,Genpact,0-4yrs  ,"3,21,092",1.2,7.5,4.1,2.2k
Associate Consultant ,Genpact,4-21yrs  ,"7,15,534",2.5,15.0,4.1,2.2k
Senior Process Associate ,Genpact,0-11yrs  ,"4,58,705",1.4,9.0,4.1,2.2k
Software Engineer ,Genpact,0-8yrs  ,"17,20,564",5.2,31.0,4.1,2.2k
Process Associate ,Genpact,0-9yrs  ,"11,36,896",4.8,18.0,4.1,2.2k
Software Developer ,Genpact,0-9yrs  ,"4,79,893",1.5,8.4,4.1,2.2k
System Engineer Hardware ,Genpact,0-6yrs  ,"32,89,153",13.0,53.0,4.1,2.2k
System Engineer ,Axis-Bank,0-10yrs  ,"5,54,489",2.3,10.3,4.1,2k
IT Analyst ,Axis-Bank,3-11yrs  ,"2,48,975",1.1,4.3,4.1,2k
AST Consultant ,Axis-Bank,6-15yrs  ,"2,49,834",15.0,6.5,4.1,2k
Assistant System Engineer ,Axis-Bank,0-4yrs  ,"6,74,547",1.1,15.5,4.1,2k
Associate Consultant ,Axis-Bank,4-21yrs  ,"22,93,521",6.5,43.0,4.1,2k
Senior Process Associate ,Axis-Bank,0-11yrs  ,"6,59,924",96.0,24.0,4.1,2k
Software Engineer ,Axis-Bank,0-8yrs  ,"2,20,486",10.0,4.5,4.1,2k
Process Associate ,Axis-Bank,0-9yrs  ,"14,88,266",4.0,29.0,4.1,2k
Software Developer ,Axis-Bank,0-9yrs  ,"2,43,825",21.0,9.0,4.1,2k
System Engineer Hardware ,Axis-Bank,0-6yrs  ,"3,69,407",1.4,6.7,4.1,2k
System Engineer ,Concentrix-Corporation,0-10yrs  ,"3,05,918",10.0,20.4,4.0,1.9k
IT Analyst ,Concentrix-Corporation,3-11yrs  ,"2,86,237",15.0,19.2,4.0,1.9k
AST Consultant ,Concentrix-Corporation,6-15yrs  ,"4,37,290",1.5,9.0,4.0,1.9k
Assistant System Engineer ,Concentrix-Corporation,0-4yrs  ,"3,82,094",1.5,7.7,4.0,1.9k
Associate Consultant ,Concentrix-Corporation,4-21yrs  ,"3,81,905",1.5,6.0,4.0,1.9k
Senior Process Associate ,Concentrix-Corporation,0-11yrs  ,"3,59,659",1.3,6.5,4.0,1.9k
Software Engineer ,Concentrix-Corporation,0-8yrs  ,"3,08,092",1.1,6.0,4.0,1.9k
Process Associate ,Concentrix-Corporation,0-9yrs  ,"4,82,437",1.2,10.5,4.0,1.9k
Software Developer ,Concentrix-Corporation,0-9yrs  ,"3,18,502",20.0,7.7,4.0,1.9k
System Engineer Hardware ,Concentrix-Corporation,0-6yrs  ,"2,96,999",40.0,7.0,4.0,1.9k
System Engineer ,IBM,0-10yrs  ,"12,55,693",1.8,36.0,3.6,1.8k
IT Analyst ,IBM,3-11yrs  ,"8,16,147",1.6,29.0,3.6,1.8k
AST Consultant ,IBM,6-15yrs  ,"11,64,402",1.0,25.5,3.6,1.8k
Assistant System Engineer ,IBM,0-4yrs  ,"15,81,518",5.0,27.0,3.6,1.8k
Associate Consultant ,IBM,4-21yrs  ,"14,49,989",3.5,43.0,3.6,1.8k
Senior Process Associate ,IBM,0-11yrs  ,"11,28,370",1.3,36.0,3.6,1.8k
Software Engineer ,IBM,0-8yrs  ,"6,99,417",2.2,13.5,3.6,1.8k
Process Associate ,IBM,0-9yrs  ,"7,52,071",2.0,21.9,3.6,1.8k
Software Developer ,IBM,0-9yrs  ,"10,63,535",3.0,20.0,3.6,1.8k
System Engineer Hardware ,IBM,0-6yrs  ,"9,16,465",2.5,22.5,3.6,1.8k
System Engineer ,Amazon,0-10yrs  ,"3,45,816",60.0,8.6,4.4,1.7k
IT Analyst ,Amazon,3-11yrs  ,"4,07,302",2.0,7.0,4.4,1.7k
AST Consultant ,Amazon,6-15yrs  ,"3,42,240",1.0,7.0,4.4,1.7k
Assistant System Engineer ,Amazon,0-4yrs  ,"5,58,368",1.5,9.5,4.4,1.7k
Associate Consultant ,Amazon,4-21yrs  ,"3,06,261",1.0,5.1,4.4,1.7k
Senior Process Associate ,Amazon,0-11yrs  ,"4,40,749",2.7,7.3,4.4,1.7k
Software Engineer ,Amazon,0-8yrs  ,"4,49,848",1.2,6.7,4.4,1.7k
Process Associate ,Amazon,0-9yrs  ,"22,04,355",5.0,51.0,4.4,1.7k
Software Developer ,Amazon,0-9yrs  ,"4,01,873",1.7,5.8,4.4,1.7k
System Engineer Hardware ,Amazon,0-6yrs  ,"3,45,356",1.8,6.6,4.4,1.7k
System Engineer ,Reliance-Jio,0-10yrs  ,"7,82,063",1.9,15.2,4.0,1.6k
IT Analyst ,Reliance-Jio,3-11yrs  ,"3,01,494",1.8,4.5,4.0,1.6k
AST Consultant ,Reliance-Jio,6-15yrs  ,"2,62,888",10.0,15.2,4.0,1.6k
Assistant System Engineer ,Reliance-Jio,0-4yrs  ,"4,19,150",1.5,8.5,4.0,1.6k
Associate Consultant ,Reliance-Jio,4-21yrs  ,"2,82,680",1.0,6.5,4.0,1.6k
Senior Process Associate ,Reliance-Jio,0-11yrs  ,"29,48,707",12.0,47.5,4.0,1.6k
Software Engineer ,Reliance-Jio,0-8yrs  ,"4,21,085",1.2,12.0,4.0,1.6k
Process Associate ,Reliance-Jio,0-9yrs  ,"5,57,364",1.1,15.0,4.0,1.6k
Software Developer ,Reliance-Jio,0-9yrs  ,"9,55,370",5.4,13.1,4.0,1.6k
System Engineer Hardware ,Reliance-Jio,0-6yrs  ,"3,23,933",1.8,5.2,4.0,1.6k
System Engineer ,HDB-Financial-Services,0-10yrs  ,"2,33,718",10.0,15.0,3.9,1.5k
IT Analyst ,HDB-Financial-Services,3-11yrs  ,"2,33,105",10.0,5.3,3.9,1.5k
AST Consultant ,HDB-Financial-Services,6-15yrs  ,"2,13,703",9.5,16.2,3.9,1.5k
Assistant System Engineer ,HDB-Financial-Services,0-4yrs  ,"3,63,786",20.0,6.8,3.9,1.5k
Associate Consultant ,HDB-Financial-Services,4-21yrs  ,"2,27,368",10.0,4.5,3.9,1.5k
Senior Process Associate ,HDB-Financial-Services,0-11yrs  ,"3,40,348",1.8,5.2,3.9,1.5k
Software Engineer ,HDB-Financial-Services,0-8yrs  ,"2,37,192",1.0,6.4,3.9,1.5k
Process Associate ,HDB-Financial-Services,0-9yrs  ,"3,01,883",10.0,5.6,3.9,1.5k
Software Developer ,HDB-Financial-Services,0-9yrs  ,"2,38,823",1.1,4.8,3.9,1.5k
System Engineer Hardware ,HDB-Financial-Services,0-6yrs  ,"4,97,617",2.0,7.8,3.9,1.5k
System Engineer ,Reliance-Retail,0-10yrs  ,"5,36,964",1.9,12.0,3.8,1.4k
IT Analyst ,Reliance-Retail,3-11yrs  ,"3,75,835",1.4,6.3,3.8,1.4k
AST Consultant ,Reliance-Retail,6-15yrs  ,"3,27,875",1.3,5.1,3.8,1.4k
Assistant System Engineer ,Reliance-Retail,0-4yrs  ,"7,80,775",2.2,17.0,3.8,1.4k
Associate Consultant ,Reliance-Retail,4-21yrs  ,"3,60,267",80.0,9.0,3.8,1.4k
Senior Process Associate ,Reliance-Retail,0-11yrs  ,"5,26,771",1.4,15.0,3.8,1.4k
Software Engineer ,Reliance-Retail,0-8yrs  ,"4,92,857",1.3,9.5,3.8,1.4k
Process Associate ,Reliance-Retail,0-9yrs  ,"2,70,983",10.0,13.0,3.8,1.4k
Software Developer ,Reliance-Retail,0-9yrs  ,"1,83,509",10.0,12.1,3.8,1.4k
System Engineer Hardware ,Reliance-Retail,0-6yrs  ,"2,68,449",25.0,5.5,3.8,1.4k
System Engineer ,Teleperformance,0-10yrs  ,"2,89,648",25.0,20.2,3.8,1.3k
IT Analyst ,Teleperformance,3-11yrs  ,"2,55,364",10.0,17.1,3.8,1.3k
AST Consultant ,Teleperformance,6-15yrs  ,"2,85,644",23.0,25.0,3.8,1.3k
Assistant System Engineer ,Teleperformance,0-4yrs  ,"3,08,848",30.0,6.0,3.8,1.3k
Associate Consultant ,Teleperformance,4-21yrs  ,"3,47,419",20.0,6.1,3.8,1.3k
Senior Process Associate ,Teleperformance,0-11yrs  ,"4,56,232",1.1,12.0,3.8,1.3k
Software Engineer ,Teleperformance,0-8yrs  ,"3,58,426",45.0,6.6,3.8,1.3k
Process Associate ,Teleperformance,0-9yrs  ,"2,85,124",30.0,20.0,3.8,1.3k
Software Developer ,Teleperformance,0-9yrs  ,"4,19,130",1.4,9.5,3.8,1.3k
System Engineer Hardware ,Teleperformance,0-6yrs  ,"2,64,628",1.0,4.8,3.8,1.3k
System Engineer ,Vodafone-Idea,0-10yrs  ,"13,96,799",5.3,22.0,3.8,1.3k
IT Analyst ,Vodafone-Idea,3-11yrs  ,"6,60,172",95.0,10.7,3.8,1.3k
AST Consultant ,Vodafone-Idea,6-15yrs  ,"17,07,222",4.4,35.6,3.8,1.3k
Assistant System Engineer ,Vodafone-Idea,0-4yrs  ,"2,60,968",25.0,16.3,3.8,1.3k
Associate Consultant ,Vodafone-Idea,4-21yrs  ,"2,70,103",75.0,8.2,3.8,1.3k
Senior Process Associate ,Vodafone-Idea,0-11yrs  ,"3,72,428",90.0,15.5,3.8,1.3k
Software Engineer ,Vodafone-Idea,0-8yrs  ,"2,63,311",90.0,5.5,3.8,1.3k
Process Associate ,Vodafone-Idea,0-9yrs  ,"13,30,317",3.6,20.0,3.8,1.3k
Software Developer ,Vodafone-Idea,0-9yrs  ,"3,90,752",1.6,5.2,3.8,1.3k
System Engineer Hardware ,Vodafone-Idea,0-6yrs  ,"36,19,118",12.0,76.0,3.8,1.3k
System Engineer ,Deloitte,0-10yrs  ,"23,82,877",4.0,40.0,3.8,1.3k
IT Analyst ,Deloitte,3-11yrs  ,"8,05,999",1.8,14.5,3.8,1.3k
AST Consultant ,Deloitte,6-15yrs  ,"10,53,970",2.2,29.0,3.8,1.3k
Assistant System Engineer ,Deloitte,0-4yrs  ,"8,87,454",3.5,15.0,3.8,1.3k
Associate Consultant ,Deloitte,4-21yrs  ,"17,69,394",6.0,28.2,3.8,1.3k
Senior Process Associate ,Deloitte,0-11yrs  ,"7,00,527",2.0,12.0,3.8,1.3k
Software Engineer ,Deloitte,0-8yrs  ,"4,40,382",2.1,6.8,3.8,1.3k
Process Associate ,Deloitte,0-9yrs  ,"10,27,768",3.4,19.2,3.8,1.3k
Software Developer ,Deloitte,0-9yrs  ,"11,10,553",4.9,16.0,3.8,1.3k
System Engineer Hardware ,Deloitte,0-6yrs  ,"15,40,021",5.1,24.0,3.8,1.3k
System Engineer ,Kotak-Mahindra-Bank,0-10yrs  ,"4,73,063",1.5,8.5,4.1,1.2k
IT Analyst ,Kotak-Mahindra-Bank,3-11yrs  ,"5,30,820",1.5,13.5,4.1,1.2k
AST Consultant ,Kotak-Mahindra-Bank,6-15yrs  ,"6,95,522",3.0,10.6,4.1,1.2k
Assistant System Engineer ,Kotak-Mahindra-Bank,0-4yrs  ,"13,44,058",4.0,22.3,4.1,1.2k
Associate Consultant ,Kotak-Mahindra-Bank,4-21yrs  ,"2,78,865",1.1,4.0,4.1,1.2k
Senior Process Associate ,Kotak-Mahindra-Bank,0-11yrs  ,"18,02,487",6.6,32.4,4.1,1.2k
Software Engineer ,Kotak-Mahindra-Bank,0-8yrs  ,"4,07,601",1.9,6.5,4.1,1.2k
Process Associate ,Kotak-Mahindra-Bank,0-9yrs  ,"3,04,754",1.5,4.2,4.1,1.2k
Software Developer ,Kotak-Mahindra-Bank,0-9yrs  ,"2,59,145",20.0,6.0,4.1,1.2k
System Engineer Hardware ,Kotak-Mahindra-Bank,0-6yrs  ,"7,87,066",1.7,12.7,4.1,1.2k
System Engineer ,DXC-Technology,0-10yrs  ,"4,64,998",3.0,7.0,4.0,900
IT Analyst ,DXC-Technology,3-11yrs  ,"6,76,812",2.4,14.2,4.0,900
AST Consultant ,DXC-Technology,6-15yrs  ,"4,74,306",1.8,7.2,4.0,900
Assistant System Engineer ,DXC-Technology,0-4yrs  ,"7,21,472",2.8,13.9,4.0,900
Associate Consultant ,DXC-Technology,4-21yrs  ,"6,39,437",2.5,14.0,4.0,900
Senior Process Associate ,DXC-Technology,0-11yrs  ,"8,63,267",3.8,14.0,4.0,900
Software Engineer ,DXC-Technology,0-8yrs  ,"10,77,691",2.0,26.0,4.0,900
Process Associate ,DXC-Technology,0-9yrs  ,"12,08,735",3.6,22.5,4.0,900
Software Developer ,DXC-Technology,0-9yrs  ,"4,66,605",3.0,7.8,4.0,900
System Engineer Hardware ,DXC-Technology,0-6yrs  ,"4,25,647",3.0,6.6,4.0,900
System Engineer ,Infosys-BPM,0-10yrs  ,"3,06,644",1.0,4.7,3.8,886
IT Analyst ,Infosys-BPM,3-11yrs  ,"4,54,351",2.0,7.8,3.8,886
AST Consultant ,Infosys-BPM,6-15yrs  ,"2,88,614",95.0,8.0,3.8,886
Assistant System Engineer ,Infosys-BPM,0-4yrs  ,"3,15,026",1.4,4.5,3.8,886
Associate Consultant ,Infosys-BPM,4-21yrs  ,"3,88,772",1.7,5.7,3.8,886
Senior Process Associate ,Infosys-BPM,0-11yrs  ,"6,36,588",3.2,10.5,3.8,886
Software Engineer ,Infosys-BPM,0-8yrs  ,"4,30,719",2.4,6.0,3.8,886
Process Associate ,Infosys-BPM,0-9yrs  ,"3,30,034",1.5,5.5,3.8,886
Software Developer ,Infosys-BPM,0-9yrs  ,"2,44,936",1.2,3.3,3.8,886
System Engineer Hardware ,Infosys-BPM,0-6yrs  ,"5,13,433",2.5,7.0,3.8,886
System Engineer ,IDFC-FIRST-Bank,0-10yrs  ,"2,47,296",95.0,12.0,4.2,865
IT Analyst ,IDFC-FIRST-Bank,3-11yrs  ,"3,65,154",1.8,5.3,4.2,865
AST Consultant ,IDFC-FIRST-Bank,6-15yrs  ,"5,24,216",2.7,9.0,4.2,865
Assistant System Engineer ,IDFC-FIRST-Bank,0-4yrs  ,"5,92,476",1.5,11.0,4.2,865
Associate Consultant ,IDFC-FIRST-Bank,4-21yrs  ,"2,98,005",1.2,6.5,4.2,865
Senior Process Associate ,IDFC-FIRST-Bank,0-11yrs  ,"7,32,003",3.8,10.5,4.2,865
Software Engineer ,IDFC-FIRST-Bank,0-8yrs  ,"5,17,252",1.9,11.5,4.2,865
Process Associate ,IDFC-FIRST-Bank,0-9yrs  ,"6,99,830",2.4,12.0,4.2,865
Software Developer ,IDFC-FIRST-Bank,0-9yrs  ,"7,61,225",3.7,11.2,4.2,865
System Engineer Hardware ,IDFC-FIRST-Bank,0-6yrs  ,"12,43,276",2.5,26.0,4.2,865
System Engineer ,Maruti-Suzuki,0-10yrs  ,"16,17,450",6.5,27.0,3.7,834
IT Analyst ,Maruti-Suzuki,3-11yrs  ,"2,76,587",10.0,7.0,3.7,834
AST Consultant ,Maruti-Suzuki,6-15yrs  ,"2,51,828",10.0,20.0,3.7,834
Assistant System Engineer ,Maruti-Suzuki,0-4yrs  ,"2,53,167",10.0,10.0,3.7,834
Associate Consultant ,Maruti-Suzuki,4-21yrs  ,"22,21,056",10.0,30.3,3.7,834
Senior Process Associate ,Maruti-Suzuki,0-11yrs  ,"12,72,956",6.3,18.0,3.7,834
Software Engineer ,Maruti-Suzuki,0-8yrs  ,"2,32,339",20.0,22.5,3.7,834
Process Associate ,Maruti-Suzuki,0-9yrs  ,"2,34,328",15.0,15.2,3.7,834
Software Developer ,Maruti-Suzuki,0-9yrs  ,"18,28,077",7.2,30.5,3.7,834
System Engineer Hardware ,Maruti-Suzuki,0-6yrs  ,"2,52,922",10.0,25.0,3.7,834
System Engineer ,Conneqt-Business-Solutions,0-10yrs  ,"2,27,765",10.0,10.0,4.5,806
IT Analyst ,Conneqt-Business-Solutions,3-11yrs  ,"2,45,007",10.0,12.0,4.5,806
AST Consultant ,Conneqt-Business-Solutions,6-15yrs  ,"2,42,968",1.0,5.0,4.5,806
Assistant System Engineer ,Conneqt-Business-Solutions,0-4yrs  ,"3,75,441",20.0,7.2,4.5,806
Associate Consultant ,Conneqt-Business-Solutions,4-21yrs  ,"2,34,991",10.0,4.5,4.5,806
Senior Process Associate ,Conneqt-Business-Solutions,0-11yrs  ,"3,65,050",1.5,5.3,4.5,806
Software Engineer ,Conneqt-Business-Solutions,0-8yrs  ,"2,39,523",96.0,5.3,4.5,806
Process Associate ,Conneqt-Business-Solutions,0-9yrs  ,"3,12,988",1.0,5.1,4.5,806
Software Developer ,Conneqt-Business-Solutions,0-9yrs  ,"2,48,612",1.0,4.3,4.5,806
System Engineer Hardware ,Conneqt-Business-Solutions,0-6yrs  ,"1,98,077",10.0,4.0,4.5,806
System Engineer ,Bajaj-Finserv,0-10yrs  ,"2,57,773",10.0,15.0,3.7,789
IT Analyst ,Bajaj-Finserv,3-11yrs  ,"2,56,624",10.0,10.1,3.7,789
AST Consultant ,Bajaj-Finserv,6-15yrs  ,"4,97,046",1.3,9.0,3.7,789
Assistant System Engineer ,Bajaj-Finserv,0-4yrs  ,"4,32,272",10.0,8.0,3.7,789
Associate Consultant ,Bajaj-Finserv,4-21yrs  ,"8,90,157",2.1,15.0,3.7,789
Senior Process Associate ,Bajaj-Finserv,0-11yrs  ,"3,83,763",1.5,5.5,3.7,789
Software Engineer ,Bajaj-Finserv,0-8yrs  ,"5,24,402",2.0,8.0,3.7,789
Process Associate ,Bajaj-Finserv,0-9yrs  ,"2,35,796",10.0,12.0,3.7,789
Software Developer ,Bajaj-Finserv,0-9yrs  ,"2,01,007",10.0,5.0,3.7,789
System Engineer Hardware ,Bajaj-Finserv,0-6yrs  ,"3,98,052",1.6,6.2,3.7,789
System Engineer ,Hinduja-Global-Solutions,0-10yrs  ,"2,92,937",1.5,4.6,4.9,774
IT Analyst ,Hinduja-Global-Solutions,3-11yrs  ,"2,55,176",10.0,19.2,4.9,774
AST Consultant ,Hinduja-Global-Solutions,6-15yrs  ,"2,51,227",1.0,4.5,4.9,774
Assistant System Engineer ,Hinduja-Global-Solutions,0-4yrs  ,"2,70,570",1.2,4.2,4.9,774
Associate Consultant ,Hinduja-Global-Solutions,4-21yrs  ,"2,92,595",1.7,4.5,4.9,774
Senior Process Associate ,Hinduja-Global-Solutions,0-11yrs  ,"4,71,896",1.6,8.3,4.9,774
Software Engineer ,Hinduja-Global-Solutions,0-8yrs  ,"3,57,598",1.5,6.0,4.9,774
Process Associate ,Hinduja-Global-Solutions,0-9yrs  ,"2,63,696",1.6,3.5,4.9,774
Software Developer ,Hinduja-Global-Solutions,0-9yrs  ,"4,97,703",1.4,8.7,4.9,774
System Engineer Hardware ,Hinduja-Global-Solutions,0-6yrs  ,"2,39,163",10.0,12.1,4.9,774
System Engineer ,iEnergizer,0-10yrs  ,"3,23,050",10.0,24.0,3.4,754
IT Analyst ,iEnergizer,3-11yrs  ,"3,04,664",30.0,18.3,3.4,754
AST Consultant ,iEnergizer,6-15yrs  ,"3,59,845",20.0,7.0,3.4,754
