Designation,Company,experience,average salary,minimum salary,maximum salary,ratings,reviews
Maintenance Executive ,Karvy-Data-Management-Services,4-10yrs  ,"1,70,389",15.0,3.0,4.2,2.1k
Elevator Technician ,Karvy-Data-Management-Services,3-10yrs  ,"2,07,267",95.0,3.5,4.2,2.1k
Junior Process Agent ,Karvy-Data-Management-Services,1-5yrs  ,"1,73,426",1.0,3.0,4.2,2.1k
Installation Engineer ,Karvy-Data-Management-Services,1-12yrs  ,"2,27,435",10.0,3.1,4.2,2.1k
Design Engineer ,Optum-Global-Solutions,1-5yrs  ,"3,08,072",1.6,4.3,4.1,2k
Senior Engineer ,Optum-Global-Solutions,4-8yrs  ,"17,42,722",6.9,24.5,4.1,2k
Sales Engineer ,Optum-Global-Solutions,1-6yrs  ,"11,25,245",3.3,18.5,4.1,2k
Senior Sales Engineer ,Optum-Global-Solutions,4-13yrs  ,"3,80,145",2.0,5.5,4.1,2k
Process Agent ,Optum-Global-Solutions,4-7yrs  ,"2,81,141",1.5,4.3,4.1,2k
Technical Support Engineer ,Optum-Global-Solutions,1-5yrs  ,"3,92,025",2.5,5.2,4.1,2k
Maintenance Executive ,Optum-Global-Solutions,4-10yrs  ,"2,84,241",1.7,4.5,4.1,2k
Elevator Technician ,Optum-Global-Solutions,3-10yrs  ,"6,01,479",3.5,8.5,4.1,2k
Junior Process Agent ,Optum-Global-Solutions,1-5yrs  ,"13,66,816",8.0,19.7,4.1,2k
Installation Engineer ,Optum-Global-Solutions,1-12yrs  ,"3,97,368",2.6,5.2,4.1,2k
Design Engineer ,Angel-One,1-5yrs  ,"2,81,098",1.2,4.8,4.0,1.9k
Senior Engineer ,Angel-One,4-8yrs  ,"3,56,926",1.2,5.0,4.0,1.9k
Sales Engineer ,Angel-One,1-6yrs  ,"2,77,373",1.5,3.8,4.0,1.9k
Senior Sales Engineer ,Angel-One,4-13yrs  ,"2,69,752",1.1,4.0,4.0,1.9k
Process Agent ,Angel-One,4-7yrs  ,"4,10,121",1.6,7.0,4.0,1.9k
Technical Support Engineer ,Angel-One,1-5yrs  ,"4,91,301",1.0,10.0,4.0,1.9k
Maintenance Executive ,Angel-One,4-10yrs  ,"5,16,290",3.5,8.8,4.0,1.9k
Elevator Technician ,Angel-One,3-10yrs  ,"5,25,020",3.0,6.7,4.0,1.9k
Junior Process Agent ,Angel-One,1-5yrs  ,"3,03,842",2.0,4.2,4.0,1.9k
Installation Engineer ,Angel-One,1-12yrs  ,"2,09,397",1.0,3.5,4.0,1.9k
Design Engineer ,USHA-International,1-5yrs  ,"5,35,361",3.0,7.5,4.0,1.6k
Senior Engineer ,USHA-International,4-8yrs  ,"2,52,179",1.2,4.2,4.0,1.6k
Sales Engineer ,USHA-International,1-6yrs  ,"6,73,841",4.1,10.3,4.0,1.6k
Senior Sales Engineer ,USHA-International,4-13yrs  ,"7,89,895",3.6,10.3,4.0,1.6k
Process Agent ,USHA-International,4-7yrs  ,"4,54,767",3.0,5.9,4.0,1.6k
Technical Support Engineer ,USHA-International,1-5yrs  ,"8,33,489",5.0,11.8,4.0,1.6k
Maintenance Executive ,USHA-International,4-10yrs  ,"2,66,187",1.2,4.0,4.0,1.6k
Elevator Technician ,USHA-International,3-10yrs  ,"5,08,024",3.1,7.5,4.0,1.6k
Junior Process Agent ,USHA-International,1-5yrs  ,"10,36,104",3.6,15.0,4.0,1.6k
Installation Engineer ,USHA-International,1-12yrs  ,"14,76,210",7.5,20.0,4.0,1.6k
Design Engineer ,24-7-Intouch,1-5yrs  ,"2,78,367",1.2,4.5,3.9,1.5k
Senior Engineer ,24-7-Intouch,4-8yrs  ,"3,18,212",2.0,4.3,3.9,1.5k
Sales Engineer ,24-7-Intouch,1-6yrs  ,"3,53,161",1.4,5.1,3.9,1.5k
Senior Sales Engineer ,24-7-Intouch,4-13yrs  ,"4,12,406",3.0,5.3,3.9,1.5k
Process Agent ,24-7-Intouch,4-7yrs  ,"3,24,603",1.9,4.3,3.9,1.5k
Technical Support Engineer ,24-7-Intouch,1-5yrs  ,"5,12,927",2.5,7.5,3.9,1.5k
Maintenance Executive ,24-7-Intouch,4-10yrs  ,"2,66,986",1.1,4.2,3.9,1.5k
Elevator Technician ,24-7-Intouch,3-10yrs  ,"3,29,736",2.4,4.2,3.9,1.5k
Junior Process Agent ,24-7-Intouch,1-5yrs  ,"2,47,778",1.5,3.4,3.9,1.5k
Installation Engineer ,24-7-Intouch,1-12yrs  ,"2,67,772",1.4,4.0,3.9,1.5k
Design Engineer ,KFintech,1-5yrs  ,"2,61,578",1.0,4.5,3.8,1.4k
Senior Engineer ,KFintech,4-8yrs  ,"2,26,879",95.0,4.0,3.8,1.4k
Sales Engineer ,KFintech,1-6yrs  ,"2,01,803",1.0,3.5,3.8,1.4k
Senior Sales Engineer ,KFintech,4-13yrs  ,"2,68,392",1.1,4.5,3.8,1.4k
Process Agent ,KFintech,4-7yrs  ,"6,99,389",4.1,10.6,3.8,1.4k
Technical Support Engineer ,KFintech,1-5yrs  ,"1,60,573",1.1,2.6,3.8,1.4k
Maintenance Executive ,KFintech,4-10yrs  ,"5,61,221",2.4,10.5,3.8,1.4k
Elevator Technician ,KFintech,3-10yrs  ,"5,11,064",2.2,8.0,3.8,1.4k
Junior Process Agent ,KFintech,1-5yrs  ,"2,57,325",1.5,4.2,3.8,1.4k
Installation Engineer ,KFintech,1-12yrs  ,"3,03,533",2.0,4.2,3.8,1.4k
Design Engineer ,Alstom-Transportation,1-5yrs  ,"14,37,120",6.8,23.0,3.8,1.3k
Senior Engineer ,Alstom-Transportation,4-8yrs  ,"12,56,064",7.0,17.5,3.8,1.3k
Sales Engineer ,Alstom-Transportation,1-6yrs  ,"6,56,750",6.5,6.8,3.8,1.3k
Senior Sales Engineer ,Alstom-Transportation,4-13yrs  ,"17,01,208",11.5,23.9,3.8,1.3k
Process Agent ,Alstom-Transportation,4-7yrs  ,"8,82,389",4.5,12.5,3.8,1.3k
Technical Support Engineer ,Alstom-Transportation,1-5yrs  ,"9,82,668",3.5,15.7,3.8,1.3k
Maintenance Executive ,Alstom-Transportation,4-10yrs  ,"3,57,208",2.5,5.0,3.8,1.3k
Elevator Technician ,Alstom-Transportation,3-10yrs  ,"12,84,586",7.0,18.0,3.8,1.3k
Junior Process Agent ,Alstom-Transportation,1-5yrs  ,"5,22,451",1.8,11.3,3.8,1.3k
Installation Engineer ,Alstom-Transportation,1-12yrs  ,"2,41,695",1.8,3.0,3.8,1.3k
Design Engineer ,Honda-Cars,1-5yrs  ,"15,99,791",11.0,24.0,4.1,1.2k
Senior Engineer ,Honda-Cars,4-8yrs  ,"4,40,749",2.6,6.1,4.1,1.2k
Sales Engineer ,Honda-Cars,1-6yrs  ,"2,60,975",20.0,4.5,4.1,1.2k
Senior Sales Engineer ,Honda-Cars,4-13yrs  ,"2,59,035",1.0,4.3,4.1,1.2k
Process Agent ,Honda-Cars,4-7yrs  ,"17,14,735",11.8,24.0,4.1,1.2k
Technical Support Engineer ,Honda-Cars,1-5yrs  ,"2,07,900",10.0,4.3,4.1,1.2k
Maintenance Executive ,Honda-Cars,4-10yrs  ,"18,72,496",12.1,24.0,4.1,1.2k
Elevator Technician ,Honda-Cars,3-10yrs  ,"6,78,327",4.4,9.1,4.1,1.2k
Junior Process Agent ,Honda-Cars,1-5yrs  ,"1,62,575",10.0,3.3,4.1,1.2k
Installation Engineer ,Honda-Cars,1-12yrs  ,"6,00,000",6.0,6.0,4.1,1.2k
Design Engineer ,Google,1-5yrs  ,"37,46,620",15.0,70.0,4.2,1.2k
Senior Engineer ,Google,4-8yrs  ,"63,99,566",1.0,5.0,4.2,1.2k
Sales Engineer ,Google,1-6yrs  ,"41,13,471",8.0,1.0,4.2,1.2k
Senior Sales Engineer ,Google,4-13yrs  ,"39,96,061",6.0,1.0,4.2,1.2k
Process Agent ,Google,4-7yrs  ,"48,57,712",14.0,1.2,4.2,1.2k
Technical Support Engineer ,Google,1-5yrs  ,"59,64,302",20.0,1.5,4.2,1.2k
Maintenance Executive ,Google,4-10yrs  ,"50,31,519",15.0,1.2,4.2,1.2k
Elevator Technician ,Google,3-10yrs  ,"43,07,684",15.0,1.0,4.2,1.2k
Junior Process Agent ,Google,1-5yrs  ,"2,70,786",1.1,6.7,4.2,1.2k
Installation Engineer ,Google,1-12yrs  ,"43,53,571",16.0,1.0,4.2,1.2k
Design Engineer ,Innovsource-Services,1-5yrs  ,"2,18,473",15.0,4.2,4.2,1.2k
Senior Engineer ,Innovsource-Services,4-8yrs  ,"2,06,776",10.0,3.6,4.2,1.2k
Sales Engineer ,Innovsource-Services,1-6yrs  ,"3,11,489",20.0,4.5,4.2,1.2k
Senior Sales Engineer ,Innovsource-Services,4-13yrs  ,"2,29,228",1.1,3.5,4.2,1.2k
Process Agent ,Innovsource-Services,4-7yrs  ,"2,67,380",1.5,3.9,4.2,1.2k
Technical Support Engineer ,Innovsource-Services,1-5yrs  ,"2,54,115",1.4,4.4,4.2,1.2k
Maintenance Executive ,Innovsource-Services,4-10yrs  ,"2,66,014",1.5,4.0,4.2,1.2k
Elevator Technician ,Innovsource-Services,3-10yrs  ,"3,01,029",1.3,5.0,4.2,1.2k
Junior Process Agent ,Innovsource-Services,1-5yrs  ,"2,72,498",1.8,4.2,4.2,1.2k
Installation Engineer ,Innovsource-Services,1-12yrs  ,"2,16,703",1.4,3.0,4.2,1.2k
Design Engineer ,Jet-Airways,1-5yrs  ,"10,72,102",5.7,15.0,4.3,1.1k
Senior Engineer ,Jet-Airways,4-8yrs  ,"6,48,797",2.4,25.0,4.3,1.1k
Sales Engineer ,Jet-Airways,1-6yrs  ,"3,08,216",20.0,5.0,4.3,1.1k
Senior Sales Engineer ,Jet-Airways,4-13yrs  ,"8,45,789",3.0,12.0,4.3,1.1k
Process Agent ,Jet-Airways,4-7yrs  ,"2,03,486",70.0,4.5,4.3,1.1k
Technical Support Engineer ,Jet-Airways,1-5yrs  ,"2,46,742",1.3,4.5,4.3,1.1k
Maintenance Executive ,Jet-Airways,4-10yrs  ,"8,82,326",3.0,20.0,4.3,1.1k
Elevator Technician ,Jet-Airways,3-10yrs  ,"2,97,239",40.0,5.8,4.3,1.1k
Junior Process Agent ,Jet-Airways,1-5yrs  ,"7,28,021",5.0,12.0,4.3,1.1k
Installation Engineer ,Jet-Airways,1-12yrs  ,"5,11,611",3.5,8.0,4.3,1.1k
Design Engineer ,Samsung-India-Electronics,1-5yrs  ,"3,04,333",10.0,20.0,4.1,1.1k
Senior Engineer ,Samsung-India-Electronics,4-8yrs  ,"2,84,587",20.0,20.2,4.1,1.1k
Sales Engineer ,Samsung-India-Electronics,1-6yrs  ,"13,89,966",1.1,29.0,4.1,1.1k
Senior Sales Engineer ,Samsung-India-Electronics,4-13yrs  ,"2,12,141",10.0,9.0,4.1,1.1k
Process Agent ,Samsung-India-Electronics,4-7yrs  ,"20,20,326",8.3,31.0,4.1,1.1k
Technical Support Engineer ,Samsung-India-Electronics,1-5yrs  ,"12,66,630",2.3,30.9,4.1,1.1k
Maintenance Executive ,Samsung-India-Electronics,4-10yrs  ,"2,24,663",10.0,17.0,4.1,1.1k
Elevator Technician ,Samsung-India-Electronics,3-10yrs  ,"20,07,753",7.2,40.0,4.1,1.1k
Junior Process Agent ,Samsung-India-Electronics,1-5yrs  ,"3,50,089",1.0,8.5,4.1,1.1k
Installation Engineer ,Samsung-India-Electronics,1-12yrs  ,"20,91,748",1.0,32.0,4.1,1.1k
Design Engineer ,V-Guard-Industries,1-5yrs  ,"8,69,388",3.6,11.7,3.9,1.1k
Senior Engineer ,V-Guard-Industries,4-8yrs  ,"5,08,299",2.5,7.6,3.9,1.1k
Sales Engineer ,V-Guard-Industries,1-6yrs  ,"5,00,714",2.0,9.4,3.9,1.1k
Senior Sales Engineer ,V-Guard-Industries,4-13yrs  ,"6,80,023",4.3,9.0,3.9,1.1k
Process Agent ,V-Guard-Industries,4-7yrs  ,"6,65,558",3.6,8.2,3.9,1.1k
Technical Support Engineer ,V-Guard-Industries,1-5yrs  ,"11,69,027",4.1,17.0,3.9,1.1k
Maintenance Executive ,V-Guard-Industries,4-10yrs  ,"4,63,978",3.0,6.2,3.9,1.1k
Elevator Technician ,V-Guard-Industries,3-10yrs  ,"3,15,833",2.0,5.4,3.9,1.1k
Junior Process Agent ,V-Guard-Industries,1-5yrs  ,"10,11,068",5.5,12.8,3.9,1.1k
Installation Engineer ,V-Guard-Industries,1-12yrs  ,"3,49,947",2.3,4.5,3.9,1.1k
Design Engineer ,Aon,1-5yrs  ,"3,30,044",2.0,5.3,3.9,1k
Senior Engineer ,Aon,4-8yrs  ,"4,25,055",2.0,7.5,3.9,1k
Sales Engineer ,Aon,1-6yrs  ,"6,33,177",3.3,10.0,3.9,1k
Senior Sales Engineer ,Aon,4-13yrs  ,"4,38,997",1.8,7.2,3.9,1k
Process Agent ,Aon,4-7yrs  ,"6,14,058",2.0,8.5,3.9,1k
Technical Support Engineer ,Aon,1-5yrs  ,"13,31,849",5.1,41.0,3.9,1k
Maintenance Executive ,Aon,4-10yrs  ,"2,43,561",1.5,3.3,3.9,1k
Elevator Technician ,Aon,3-10yrs  ,"11,28,718",5.3,17.2,3.9,1k
Junior Process Agent ,Aon,1-5yrs  ,"6,19,739",2.5,10.0,3.9,1k
Installation Engineer ,Aon,1-12yrs  ,"4,32,647",2.6,6.0,3.9,1k
Design Engineer ,Max-Fashion,1-5yrs  ,"3,58,431",1.7,5.5,3.6,1k
Senior Engineer ,Max-Fashion,4-8yrs  ,"7,94,802",4.3,13.0,3.6,1k
Sales Engineer ,Max-Fashion,1-6yrs  ,"2,96,380",1.8,4.2,3.6,1k
Senior Sales Engineer ,Max-Fashion,4-13yrs  ,"1,99,771",15.0,11.2,3.6,1k
Process Agent ,Max-Fashion,4-7yrs  ,"3,14,980",1.5,4.5,3.6,1k
Technical Support Engineer ,Max-Fashion,1-5yrs  ,"1,84,300",15.0,14.1,3.6,1k
Maintenance Executive ,Max-Fashion,4-10yrs  ,"5,12,752",3.1,7.4,3.6,1k
Elevator Technician ,Max-Fashion,3-10yrs  ,"2,29,501",1.3,3.4,3.6,1k
Junior Process Agent ,Max-Fashion,1-5yrs  ,"1,55,044",1.0,2.9,3.6,1k
Installation Engineer ,Max-Fashion,1-12yrs  ,"2,06,726",1.4,2.9,3.6,1k
Design Engineer ,Torrent-Power,1-5yrs  ,"4,94,515",3.0,7.0,4.0,975
Senior Engineer ,Torrent-Power,4-8yrs  ,"3,06,663",2.0,4.7,4.0,975
Sales Engineer ,Torrent-Power,1-6yrs  ,"3,65,118",1.4,6.4,4.0,975
Senior Sales Engineer ,Torrent-Power,4-13yrs  ,"3,39,208",2.5,4.0,4.0,975
Process Agent ,Torrent-Power,4-7yrs  ,"4,88,650",3.8,6.6,4.0,975
Technical Support Engineer ,Torrent-Power,1-5yrs  ,"2,36,399",1.4,3.3,4.0,975
Maintenance Executive ,Torrent-Power,4-10yrs  ,"2,78,565",1.1,4.0,4.0,975
Elevator Technician ,Torrent-Power,3-10yrs  ,"4,26,091",2.0,7.0,4.0,975
Junior Process Agent ,Torrent-Power,1-5yrs  ,"33,46,103",20.3,49.0,4.0,975
Installation Engineer ,Torrent-Power,1-12yrs  ,"5,10,029",3.4,7.1,4.0,975
Design Engineer ,Motherson-Automotive-Technologies-and-Engineering,1-5yrs  ,"3,28,320",1.5,4.9,3.8,933
Senior Engineer ,Motherson-Automotive-Technologies-and-Engineering,4-8yrs  ,"2,54,669",1.3,3.6,3.8,933
Sales Engineer ,Motherson-Automotive-Technologies-and-Engineering,1-6yrs  ,"6,81,950",3.0,10.5,3.8,933
Senior Sales Engineer ,Motherson-Automotive-Technologies-and-Engineering,4-13yrs  ,"2,13,194",1.3,3.0,3.8,933
Process Agent ,Motherson-Automotive-Technologies-and-Engineering,4-7yrs  ,"3,73,090",1.2,6.0,3.8,933
Technical Support Engineer ,Motherson-Automotive-Technologies-and-Engineering,1-5yrs  ,"2,84,993",1.0,5.0,3.8,933
Maintenance Executive ,Motherson-Automotive-Technologies-and-Engineering,4-10yrs  ,"2,11,649",1.0,3.6,3.8,933
Elevator Technician ,Motherson-Automotive-Technologies-and-Engineering,3-10yrs  ,"1,86,575",1.0,2.5,3.8,933
Junior Process Agent ,Motherson-Automotive-Technologies-and-Engineering,1-5yrs  ,"3,17,353",1.7,4.6,3.8,933
Installation Engineer ,Motherson-Automotive-Technologies-and-Engineering,1-12yrs  ,"2,50,078",1.4,3.4,3.8,933
Design Engineer ,PI-Industries,1-5yrs  ,"5,41,860",2.4,8.8,3.8,886
Senior Engineer ,PI-Industries,4-8yrs  ,"4,97,608",2.2,8.3,3.8,886
Sales Engineer ,PI-Industries,1-6yrs  ,"8,34,362",5.0,11.8,3.8,886
Senior Sales Engineer ,PI-Industries,4-13yrs  ,"6,75,485",4.5,9.8,3.8,886
Process Agent ,PI-Industries,4-7yrs  ,"10,92,999",6.9,14.0,3.8,886
Technical Support Engineer ,PI-Industries,1-5yrs  ,"6,56,584",3.0,10.2,3.8,886
Maintenance Executive ,PI-Industries,4-10yrs  ,"5,07,431",3.1,6.4,3.8,886
Elevator Technician ,PI-Industries,3-10yrs  ,"3,79,326",3.0,6.0,3.8,886
Junior Process Agent ,PI-Industries,1-5yrs  ,"2,26,421",1.5,3.0,3.8,886
Installation Engineer ,PI-Industries,1-12yrs  ,"5,27,256",3.3,8.3,3.8,886
Design Engineer ,CitiusTech,1-5yrs  ,"11,71,333",4.7,25.0,4.2,865
Senior Engineer ,CitiusTech,4-8yrs  ,"15,36,248",4.6,26.0,4.2,865
Sales Engineer ,CitiusTech,1-6yrs  ,"7,67,156",3.3,16.0,4.2,865
Senior Sales Engineer ,CitiusTech,4-13yrs  ,"14,25,810",6.2,22.0,4.2,865
Process Agent ,CitiusTech,4-7yrs  ,"21,28,997",11.5,32.0,4.2,865
Technical Support Engineer ,CitiusTech,1-5yrs  ,"7,29,167",3.6,17.4,4.2,865
Maintenance Executive ,CitiusTech,4-10yrs  ,"18,01,150",8.0,31.0,4.2,865
Elevator Technician ,CitiusTech,3-10yrs  ,"13,35,376",4.0,21.4,4.2,865
Junior Process Agent ,CitiusTech,1-5yrs  ,"27,37,651",12.0,35.0,4.2,865
Installation Engineer ,CitiusTech,1-12yrs  ,"5,37,317",4.0,6.0,4.2,865
Design Engineer ,Verizon,1-5yrs  ,"7,43,083",2.5,17.0,3.7,834
Senior Engineer ,Verizon,4-8yrs  ,"10,17,137",4.1,18.0,3.7,834
Sales Engineer ,Verizon,1-6yrs  ,"16,47,412",4.8,28.0,3.7,834
Senior Sales Engineer ,Verizon,4-13yrs  ,"9,61,479",3.0,20.5,3.7,834
Process Agent ,Verizon,4-7yrs  ,"10,94,273",2.8,21.0,3.7,834
Technical Support Engineer ,Verizon,1-5yrs  ,"9,60,543",5.7,13.6,3.7,834
Maintenance Executive ,Verizon,4-10yrs  ,"24,67,951",11.5,30.0,3.7,834
Elevator Technician ,Verizon,3-10yrs  ,"9,40,416",5.2,13.3,3.7,834
Junior Process Agent ,Verizon,1-5yrs  ,"11,65,714",5.5,18.0,3.7,834
Installation Engineer ,Verizon,1-12yrs  ,"11,01,964",4.2,16.5,3.7,834
Design Engineer ,DHL-Express,1-5yrs  ,"4,85,282",2.4,6.6,4.3,806
Senior Engineer ,DHL-Express,4-8yrs  ,"3,75,761",1.8,4.7,4.3,806
Sales Engineer ,DHL-Express,1-6yrs  ,"3,61,064",1.0,5.5,4.3,806
Senior Sales Engineer ,DHL-Express,4-13yrs  ,"6,34,389",3.1,9.0,4.3,806
Process Agent ,DHL-Express,4-7yrs  ,"2,73,768",1.1,3.2,4.3,806
Technical Support Engineer ,DHL-Express,1-5yrs  ,"2,33,242",1.2,3.5,4.3,806
Maintenance Executive ,DHL-Express,4-10yrs  ,"12,91,036",8.3,15.0,4.3,806
