Designation,Company,experience,average salary,minimum salary,maximum salary,ratings,reviews
Process Engineer ,Precision-Techserve,1-7yrs  ,"2,01,782",1.5,3.0,4.0,1.9k
EHS Officer ,Precision-Techserve,1-7yrs  ,"2,24,795",1.4,2.8,4.0,1.9k
Officer ,Acuity-Knowledge-Partners,1-7yrs  ,"10,99,838",5.0,19.1,3.6,1.8k
Junior Officer ,Acuity-Knowledge-Partners,1-5yrs  ,"14,95,570",6.5,24.1,3.6,1.8k
Production Officer ,Acuity-Knowledge-Partners,1-6yrs  ,"19,29,769",9.5,28.8,3.6,1.8k
Executive Production ,Acuity-Knowledge-Partners,5-13yrs  ,"5,27,268",3.0,8.0,3.6,1.8k
QC Officer ,Acuity-Knowledge-Partners,1-6yrs  ,"27,21,056",16.5,44.1,3.6,1.8k
Scientist 1 ,Acuity-Knowledge-Partners,2-6yrs  ,"9,55,280",6.0,13.0,3.6,1.8k
Deputy Manager ,Acuity-Knowledge-Partners,8-16yrs  ,"6,02,498",4.5,9.8,3.6,1.8k
Junior Production Officer ,Acuity-Knowledge-Partners,1-3yrs  ,"5,44,723",3.0,8.1,3.6,1.8k
Process Engineer ,Acuity-Knowledge-Partners,1-7yrs  ,"37,43,515",22.4,55.0,3.6,1.8k
EHS Officer ,Acuity-Knowledge-Partners,1-7yrs  ,"8,65,333",5.0,12.5,3.6,1.8k
Officer ,Vertiv,1-7yrs  ,"12,38,493",6.9,16.8,4.4,1.7k
Junior Officer ,Vertiv,1-5yrs  ,"8,97,910",4.1,14.0,4.4,1.7k
Production Officer ,Vertiv,1-6yrs  ,"4,34,636",1.2,6.5,4.4,1.7k
Executive Production ,Vertiv,5-13yrs  ,"8,36,570",4.5,12.0,4.4,1.7k
QC Officer ,Vertiv,1-6yrs  ,"19,67,285",11.0,26.2,4.4,1.7k
Scientist 1 ,Vertiv,2-6yrs  ,"13,75,769",7.6,18.7,4.4,1.7k
Deputy Manager ,Vertiv,8-16yrs  ,"3,70,098",2.7,5.0,4.4,1.7k
Junior Production Officer ,Vertiv,1-3yrs  ,"4,38,184",76.0,8.0,4.4,1.7k
Process Engineer ,Vertiv,1-7yrs  ,"5,78,200",3.9,8.8,4.4,1.7k
EHS Officer ,Vertiv,1-7yrs  ,"5,85,333",4.2,8.0,4.4,1.7k
Officer ,Samasta-Microfinance,1-7yrs  ,"2,51,665",1.0,4.1,4.0,1.6k
Junior Officer ,Samasta-Microfinance,1-5yrs  ,"3,55,155",1.5,5.5,4.0,1.6k
Production Officer ,Samasta-Microfinance,1-6yrs  ,"3,36,896",95.0,6.5,4.0,1.6k
Executive Production ,Samasta-Microfinance,5-13yrs  ,"1,70,955",10.0,3.1,4.0,1.6k
QC Officer ,Samasta-Microfinance,1-6yrs  ,"4,51,322",2.8,5.7,4.0,1.6k
Scientist 1 ,Samasta-Microfinance,2-6yrs  ,"2,96,114",1.8,4.2,4.0,1.6k
Deputy Manager ,Samasta-Microfinance,8-16yrs  ,"8,18,275",6.7,9.3,4.0,1.6k
Junior Production Officer ,Samasta-Microfinance,1-3yrs  ,"4,06,286",2.4,6.0,4.0,1.6k
Process Engineer ,Samasta-Microfinance,1-7yrs  ,"1,95,352",1.0,3.0,4.0,1.6k
EHS Officer ,Samasta-Microfinance,1-7yrs  ,"2,58,425",1.8,3.1,4.0,1.6k
Officer ,Duck-Creek-Technologies,1-7yrs  ,"10,77,778",7.0,14.4,4.1,1.5k
Junior Officer ,Duck-Creek-Technologies,1-5yrs  ,"13,84,766",7.3,21.0,4.1,1.5k
Production Officer ,Duck-Creek-Technologies,1-6yrs  ,"6,50,000",4.0,8.6,4.1,1.5k
Executive Production ,Duck-Creek-Technologies,5-13yrs  ,"9,81,878",6.0,16.0,4.1,1.5k
QC Officer ,Duck-Creek-Technologies,1-6yrs  ,"8,41,075",5.0,16.2,4.1,1.5k
Scientist 1 ,Duck-Creek-Technologies,2-6yrs  ,"8,26,368",5.0,9.9,4.1,1.5k
Deputy Manager ,Duck-Creek-Technologies,8-16yrs  ,"15,79,231",10.7,22.0,4.1,1.5k
Junior Production Officer ,Duck-Creek-Technologies,1-3yrs  ,"8,90,769",6.6,11.0,4.1,1.5k
Process Engineer ,Duck-Creek-Technologies,1-7yrs  ,"11,20,385",6.0,18.0,4.1,1.5k
EHS Officer ,Duck-Creek-Technologies,1-7yrs  ,"25,49,167",22.0,30.0,4.1,1.5k
Officer ,Air-India-Sats-Airport-Services,1-7yrs  ,"2,94,599",35.0,5.0,3.9,1.5k
Junior Officer ,Air-India-Sats-Airport-Services,1-5yrs  ,"2,33,677",1.0,6.0,3.9,1.5k
Production Officer ,Air-India-Sats-Airport-Services,1-6yrs  ,"2,38,535",1.0,3.6,3.9,1.5k
Executive Production ,Air-India-Sats-Airport-Services,5-13yrs  ,"4,97,466",4.0,6.0,3.9,1.5k
QC Officer ,Air-India-Sats-Airport-Services,1-6yrs  ,"2,93,959",1.2,4.2,3.9,1.5k
Scientist 1 ,Air-India-Sats-Airport-Services,2-6yrs  ,"3,04,504",2.3,4.0,3.9,1.5k
Deputy Manager ,Air-India-Sats-Airport-Services,8-16yrs  ,"2,30,472",1.5,3.2,3.9,1.5k
Junior Production Officer ,Air-India-Sats-Airport-Services,1-3yrs  ,"2,69,533",1.5,5.2,3.9,1.5k
Process Engineer ,Air-India-Sats-Airport-Services,1-7yrs  ,"2,42,200",1.1,6.1,3.9,1.5k
EHS Officer ,Air-India-Sats-Airport-Services,1-7yrs  ,"2,00,523",14.6,3.2,3.9,1.5k
Officer ,Bechtel,1-7yrs  ,"27,01,975",13.0,39.0,3.8,1.3k
Junior Officer ,Bechtel,1-5yrs  ,"13,72,093",7.0,20.5,3.8,1.3k
Production Officer ,Bechtel,1-6yrs  ,"27,42,931",19.5,35.9,3.8,1.3k
Executive Production ,Bechtel,5-13yrs  ,"14,82,532",9.0,20.0,3.8,1.3k
QC Officer ,Bechtel,1-6yrs  ,"14,60,929",8.5,21.3,3.8,1.3k
Scientist 1 ,Bechtel,2-6yrs  ,"16,09,350",6.9,23.0,3.8,1.3k
Deputy Manager ,Bechtel,8-16yrs  ,"25,84,138",19.9,34.0,3.8,1.3k
Junior Production Officer ,Bechtel,1-3yrs  ,"8,48,255",4.5,10.4,3.8,1.3k
Process Engineer ,Bechtel,1-7yrs  ,"9,70,709",7.0,13.0,3.8,1.3k
EHS Officer ,Bechtel,1-7yrs  ,"12,65,916",7.2,18.5,3.8,1.3k
Officer ,Micromax-Informatics,1-7yrs  ,"4,88,730",2.0,8.3,3.8,1.3k
Junior Officer ,Micromax-Informatics,1-5yrs  ,"7,10,348",3.5,10.5,3.8,1.3k
Production Officer ,Micromax-Informatics,1-6yrs  ,"11,44,090",7.0,17.0,3.8,1.3k
Executive Production ,Micromax-Informatics,5-13yrs  ,"2,55,041",1.1,3.8,3.8,1.3k
QC Officer ,Micromax-Informatics,1-6yrs  ,"2,51,858",1.7,4.0,3.8,1.3k
Scientist 1 ,Micromax-Informatics,2-6yrs  ,"7,20,386",4.5,10.0,3.8,1.3k
Deputy Manager ,Micromax-Informatics,8-16yrs  ,"6,41,667",2.8,17.0,3.8,1.3k
Junior Production Officer ,Micromax-Informatics,1-3yrs  ,"2,69,483",2.0,4.2,3.8,1.3k
Process Engineer ,Micromax-Informatics,1-7yrs  ,"2,14,091",1.0,3.5,3.8,1.3k
EHS Officer ,Micromax-Informatics,1-7yrs  ,"16,24,091",13.1,20.1,3.8,1.3k
Officer ,Samsung-Engineering,1-7yrs  ,"20,03,325",11.0,28.0,4.1,1.2k
Junior Officer ,Samsung-Engineering,1-5yrs  ,"18,22,823",12.0,26.3,4.1,1.2k
Production Officer ,Samsung-Engineering,1-6yrs  ,"11,94,986",7.2,20.0,4.1,1.2k
Executive Production ,Samsung-Engineering,5-13yrs  ,"6,97,730",4.0,10.5,4.1,1.2k
QC Officer ,Samsung-Engineering,1-6yrs  ,"12,14,802",5.0,28.0,4.1,1.2k
Scientist 1 ,Samsung-Engineering,2-6yrs  ,"6,47,781",5.5,7.2,4.1,1.2k
Deputy Manager ,Samsung-Engineering,8-16yrs  ,"24,82,430",20.0,35.0,4.1,1.2k
Junior Production Officer ,Samsung-Engineering,1-3yrs  ,"6,50,333",3.1,10.5,4.1,1.2k
Process Engineer ,Samsung-Engineering,1-7yrs  ,"13,01,379",10.0,16.0,4.1,1.2k
EHS Officer ,Samsung-Engineering,1-7yrs  ,"8,69,839",6.5,12.0,4.1,1.2k
Officer ,VeeTechnologies,1-7yrs  ,"3,06,318",25.0,5.0,4.2,1.2k
Junior Officer ,VeeTechnologies,1-5yrs  ,"3,66,786",2.0,6.6,4.2,1.2k
Production Officer ,VeeTechnologies,1-6yrs  ,"2,88,050",1.6,4.1,4.2,1.2k
Executive Production ,VeeTechnologies,5-13yrs  ,"4,97,250",3.5,6.3,4.2,1.2k
QC Officer ,VeeTechnologies,1-6yrs  ,"3,86,770",2.0,5.0,4.2,1.2k
Scientist 1 ,VeeTechnologies,2-6yrs  ,"5,26,736",2.2,7.0,4.2,1.2k
Deputy Manager ,VeeTechnologies,8-16yrs  ,"3,65,258",2.0,4.3,4.2,1.2k
Junior Production Officer ,VeeTechnologies,1-3yrs  ,"4,66,874",2.0,6.5,4.2,1.2k
Process Engineer ,VeeTechnologies,1-7yrs  ,"7,38,385",3.0,10.5,4.2,1.2k
EHS Officer ,VeeTechnologies,1-7yrs  ,"1,90,964",90.0,3.0,4.2,1.2k
Officer ,Mu-Sigma,1-7yrs  ,"7,91,675",2.9,21.3,4.2,1.2k
Junior Officer ,Mu-Sigma,1-5yrs  ,"5,66,295",2.0,17.0,4.2,1.2k
Production Officer ,Mu-Sigma,1-6yrs  ,"14,48,106",5.5,22.0,4.2,1.2k
Executive Production ,Mu-Sigma,5-13yrs  ,"6,59,737",3.0,35.5,4.2,1.2k
QC Officer ,Mu-Sigma,1-6yrs  ,"12,82,666",4.0,17.0,4.2,1.2k
Scientist 1 ,Mu-Sigma,2-6yrs  ,"8,17,312",3.0,19.0,4.2,1.2k
Deputy Manager ,Mu-Sigma,8-16yrs  ,"7,77,915",6.1,12.0,4.2,1.2k
Junior Production Officer ,Mu-Sigma,1-3yrs  ,"12,18,486",5.7,27.0,4.2,1.2k
Process Engineer ,Mu-Sigma,1-7yrs  ,"14,88,976",11.0,17.0,4.2,1.2k
EHS Officer ,Mu-Sigma,1-7yrs  ,"5,81,441",3.8,9.0,4.2,1.2k
Officer ,United-Breweries,1-7yrs  ,"6,61,059",3.2,8.5,3.9,1.1k
Junior Officer ,United-Breweries,1-5yrs  ,"11,15,603",6.0,13.5,3.9,1.1k
Production Officer ,United-Breweries,1-6yrs  ,"8,27,565",4.7,10.4,3.9,1.1k
Executive Production ,United-Breweries,5-13yrs  ,"18,20,355",12.3,23.3,3.9,1.1k
QC Officer ,United-Breweries,1-6yrs  ,"3,04,606",1.5,4.5,3.9,1.1k
Scientist 1 ,United-Breweries,2-6yrs  ,"7,56,774",5.0,11.0,3.9,1.1k
Deputy Manager ,United-Breweries,8-16yrs  ,"6,75,525",5.3,8.6,3.9,1.1k
Junior Production Officer ,United-Breweries,1-3yrs  ,"6,29,074",4.5,8.0,3.9,1.1k
Process Engineer ,United-Breweries,1-7yrs  ,"2,02,815",80.0,3.1,3.9,1.1k
EHS Officer ,United-Breweries,1-7yrs  ,"19,20,692",14.5,22.0,3.9,1.1k
Officer ,Skill-Lync,1-7yrs  ,"6,27,372",2.0,14.9,4.1,1.1k
Junior Officer ,Skill-Lync,1-5yrs  ,"9,46,152",4.8,15.0,4.1,1.1k
Production Officer ,Skill-Lync,1-6yrs  ,"5,17,496",3.5,9.0,4.1,1.1k
Executive Production ,Skill-Lync,5-13yrs  ,"5,66,651",3.0,8.4,4.1,1.1k
QC Officer ,Skill-Lync,1-6yrs  ,"7,33,340",3.9,10.0,4.1,1.1k
Scientist 1 ,Skill-Lync,2-6yrs  ,"4,37,709",2.0,7.5,4.1,1.1k
Deputy Manager ,Skill-Lync,8-16yrs  ,"3,78,930",3.0,5.0,4.1,1.1k
Junior Production Officer ,Skill-Lync,1-3yrs  ,"4,58,659",3.0,6.5,4.1,1.1k
Process Engineer ,Skill-Lync,1-7yrs  ,"4,71,855",3.6,6.1,4.1,1.1k
EHS Officer ,Skill-Lync,1-7yrs  ,"5,28,469",4.0,8.0,4.1,1.1k
Officer ,Medha-Servo-Drives,1-7yrs  ,"3,76,714",1.9,8.0,3.9,1.1k
Junior Officer ,Medha-Servo-Drives,1-5yrs  ,"4,92,153",2.5,6.3,3.9,1.1k
Production Officer ,Medha-Servo-Drives,1-6yrs  ,"3,33,682",1.6,4.5,3.9,1.1k
Executive Production ,Medha-Servo-Drives,5-13yrs  ,"6,69,542",3.9,8.3,3.9,1.1k
QC Officer ,Medha-Servo-Drives,1-6yrs  ,"2,82,814",1.0,5.2,3.9,1.1k
Scientist 1 ,Medha-Servo-Drives,2-6yrs  ,"6,46,699",4.1,8.0,3.9,1.1k
Deputy Manager ,Medha-Servo-Drives,8-16yrs  ,"8,76,797",5.0,12.0,3.9,1.1k
Junior Production Officer ,Medha-Servo-Drives,1-3yrs  ,"3,11,505",1.8,4.6,3.9,1.1k
Process Engineer ,Medha-Servo-Drives,1-7yrs  ,"2,57,038",20.0,10.0,3.9,1.1k
EHS Officer ,Medha-Servo-Drives,1-7yrs  ,"11,04,326",7.0,14.0,3.9,1.1k
Officer ,Godfrey-Phillips-India,1-7yrs  ,"2,67,338",1.5,4.1,3.9,1k
Junior Officer ,Godfrey-Phillips-India,1-5yrs  ,"6,67,326",3.2,12.0,3.9,1k
Production Officer ,Godfrey-Phillips-India,1-6yrs  ,"17,13,069",8.0,25.0,3.9,1k
Executive Production ,Godfrey-Phillips-India,5-13yrs  ,"2,37,279",1.3,4.0,3.9,1k
QC Officer ,Godfrey-Phillips-India,1-6yrs  ,"15,65,333",10.0,20.0,3.9,1k
Scientist 1 ,Godfrey-Phillips-India,2-6yrs  ,"4,06,187",3.0,5.0,3.9,1k
Deputy Manager ,Godfrey-Phillips-India,8-16yrs  ,"1,84,182",1.0,2.7,3.9,1k
Junior Production Officer ,Godfrey-Phillips-India,1-3yrs  ,"3,14,434",2.0,3.8,3.9,1k
Process Engineer ,Godfrey-Phillips-India,1-7yrs  ,"3,53,750",2.4,5.0,3.9,1k
EHS Officer ,Godfrey-Phillips-India,1-7yrs  ,"4,48,958",3.2,5.4,3.9,1k
Officer ,Everest-Industries,1-7yrs  ,"4,36,182",2.0,6.8,3.6,1k
Junior Officer ,Everest-Industries,1-5yrs  ,"4,70,063",2.7,6.0,3.6,1k
Production Officer ,Everest-Industries,1-6yrs  ,"4,06,283",2.4,5.1,3.6,1k
Executive Production ,Everest-Industries,5-13yrs  ,"5,35,142",2.0,8.0,3.6,1k
QC Officer ,Everest-Industries,1-6yrs  ,"11,89,790",7.8,16.3,3.6,1k
Scientist 1 ,Everest-Industries,2-6yrs  ,"6,13,600",4.5,7.5,3.6,1k
Deputy Manager ,Everest-Industries,8-16yrs  ,"5,22,011",3.8,7.0,3.6,1k
Junior Production Officer ,Everest-Industries,1-3yrs  ,"4,10,940",3.5,5.7,3.6,1k
Process Engineer ,Everest-Industries,1-7yrs  ,"2,72,533",2.0,3.8,3.6,1k
EHS Officer ,Everest-Industries,1-7yrs  ,"10,06,052",6.8,15.0,3.6,1k
Officer ,Willis-Towers-Watson,1-7yrs  ,"5,54,083",2.0,9.2,4.0,975
Junior Officer ,Willis-Towers-Watson,1-5yrs  ,"5,34,453",2.9,8.0,4.0,975
Production Officer ,Willis-Towers-Watson,1-6yrs  ,"7,93,350",3.9,14.0,4.0,975
Executive Production ,Willis-Towers-Watson,5-13yrs  ,"14,30,285",4.0,32.5,4.0,975
QC Officer ,Willis-Towers-Watson,1-6yrs  ,"12,35,532",6.0,16.2,4.0,975
